Num,Name,KCAL,PROTEIN,FAT,CARBON HYDRATE
343,だいず　［全粒・全粒製品］　いり大豆　青大豆,425,37.7,20.7,33.9
344,だいず　［全粒・全粒製品］　いり大豆　黄大豆,429,37.5,21.6,33.3
345,だいず　［全粒・全粒製品］　いり大豆　黒大豆,431,36.4,22.0,34.3
346,だいず　［全粒・全粒製品］　水煮缶詰　黄大豆,124,12.9,6.7,7.7
347,だいず　［全粒・全粒製品］　蒸し大豆　黄大豆,186,16.6,9.8,13.8
348,だいず　［全粒・全粒製品］　きな粉　青大豆　全粒大豆,424,37.0,22.8,29.3
349,だいず　［全粒・全粒製品］　きな粉　青大豆　脱皮大豆,418,36.6,24.6,28.3
350,だいず　［全粒・全粒製品］　きな粉　黄大豆　全粒大豆,451,36.7,25.7,28.5
351,だいず　［全粒・全粒製品］　きな粉　黄大豆　脱皮大豆,456,37.5,25.1,29.5
352,だいず　［全粒・全粒製品］　きな粉（砂糖入り）　青きな粉,392,-18.5,-11.4,-64.3
353,だいず　［全粒・全粒製品］　きな粉（砂糖入り）　きな粉,406,-18.3,-12.9,-63.9
354,だいず　［全粒・全粒製品］　大豆はいが,404,37.8,14.7,39.5
355,だいず　［全粒・全粒製品］　ぶどう豆,265,14.1,9.4,37.0
356,だいず　［豆腐・油揚げ類］　木綿豆腐,73,7.0,4.9,1.5
357,だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：塩化マグネシウム）,73,7.0,4.9,1.5
358,だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：硫酸カルシウム）,73,7.0,4.9,1.5
359,だいず　［豆腐・油揚げ類］　絹ごし豆腐,56,5.3,3.5,2.0
360,だいず　［豆腐・油揚げ類］　絹ごし豆腐　（凝固剤：塩化マグネシウム）,56,5.3,3.5,2.0
361,だいず　［豆腐・油揚げ類］　絹ごし豆腐　（凝固剤：硫酸カルシウム）,56,5.3,3.5,2.0
362,だいず　［豆腐・油揚げ類］　ソフト豆腐,56,5.1,3.3,2.0
363,だいず　［豆腐・油揚げ類］　充てん豆腐,56,5.0,3.1,2.5
364,だいず　［豆腐・油揚げ類］　沖縄豆腐,99,9.1,7.2,0.7
365,だいず　［豆腐・油揚げ類］　ゆし豆腐,47,4.3,2.8,1.7
366,だいず　［豆腐・油揚げ類］　焼き豆腐,82,7.8,5.7,1.0
367,だいず　［豆腐・油揚げ類］　生揚げ,143,10.7,11.3,0.9
368,だいず　［豆腐・油揚げ類］　油揚げ　生,377,23.4,34.4,0.4
369,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生,266,18.2,23.4,Tr
370,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで,164,12.4,13.8,0.3
371,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き,361,24.9,32.2,0.7
372,だいず　［豆腐・油揚げ類］　油揚げ　甘煮,231,11.2,13.0,19.1
373,だいず　［豆腐・油揚げ類］　がんもどき,223,15.3,17.8,1.6
374,だいず　［豆腐・油揚げ類］　凍り豆腐　乾,496,50.5,34.1,4.2
375,だいず　［豆腐・油揚げ類］　凍り豆腐　水煮,104,10.7,7.3,1.1
376,だいず　［豆腐・油揚げ類］　豆腐よう,183,9.5,8.3,19.1
377,だいず　［豆腐・油揚げ類］　豆腐竹輪　蒸し,121,14.9,4.4,6.7
378,だいず　［豆腐・油揚げ類］　豆腐竹輪　焼き,133,16.1,4.9,7.5
379,だいず　［豆腐・油揚げ類］　ろくじょう豆腐,332,34.7,21.5,3.8
380,だいず　［納豆類］　糸引き納豆,190,16.5,10.0,12.1
381,だいず　［納豆類］　挽きわり納豆,185,16.6,10.0,10.5
382,だいず　［納豆類］　五斗納豆,214,15.3,8.1,24.0
383,だいず　［納豆類］　寺納豆,248,18.6,8.1,31.5
384,だいず　［その他］　おから　生,88,6.1,3.6,13.8
385,だいず　［その他］　おから　乾燥,333,23.1,13.6,52.3
386,だいず　［その他］　豆乳　豆乳,44,3.6,2.0,3.1
387,だいず　［その他］　豆乳　調製豆乳,63,3.2,3.6,4.8
388,だいず　［その他］　豆乳　豆乳飲料・麦芽コーヒー,59,2.2,2.2,7.8
389,だいず　［その他］　大豆たんぱく　粒状大豆たんぱく,318,46.3,3.0,36.7
390,だいず　［その他］　大豆たんぱく　濃縮大豆たんぱく,313,58.2,1.7,27.9
391,だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分無調整タイプ,335,79.1,3.0,7.5
392,だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分調整タイプ,335,79.1,3.0,7.5
393,だいず　［その他］　大豆たんぱく　繊維状大豆たんぱく,365,59.3,5.0,25.2
394,だいず　［その他］　湯葉　生,218,21.8,13.7,4.1
395,だいず　［その他］　湯葉　干し　乾,485,50.4,32.1,7.2
396,だいず　［その他］　湯葉　干し　湯戻し,151,15.7,10.6,0.1
397,だいず　［その他］　金山寺みそ,247,6.9,3.2,50.0
398,だいず　［その他］　ひしおみそ,198,6.5,2.7,38.8
399,だいず　［その他］　テンペ,180,15.8,9.0,15.4
400,つるあずき　全粒　乾,297,20.8,1.6,61.8
401,つるあずき　全粒　ゆで,132,9.7,1.0,27.5
402,ひよこまめ　全粒　乾,336,20.0,5.2,61.5
403,ひよこまめ　全粒　ゆで,149,9.5,2.5,27.4
404,ひよこまめ　全粒　フライ　味付け,366,18.8,10.4,62.6
405,べにばないんげん　全粒　乾,273,17.2,1.7,61.2
406,べにばないんげん　全粒　ゆで,103,6.2,0.6,22.3
407,やぶまめ　乾,383,23.4,10.1,49.5
408,らいまめ　全粒　乾,306,21.9,1.8,60.8
409,らいまめ　全粒　ゆで,122,9.6,0.9,26.0
410,りょくとう　全粒　乾,319,25.1,1.5,59.1
411,りょくとう　全粒　ゆで,125,10.2,0.6,22.5
412,レンズまめ　全粒　乾,313,23.2,1.5,60.7
413,レンズまめ　全粒　ゆで,149,11.2,0.8,29.1
414,アーモンド　乾,609,19.6,51.8,20.9
415,アーモンド　フライ　味付け,626,21.3,55.7,17.9
416,アーモンド　いり　無塩,608,20.3,54.1,20.7
417,あさ　乾,450,29.9,28.3,31.7
418,あまに　いり,540,21.8,43.3,30.4
419,えごま　乾,523,17.7,43.4,29.4
420,カシューナッツ　フライ　味付け,591,19.8,47.6,26.7
421,かぼちゃ　いり　味付け,590,26.5,51.8,12.0
422,かや　いり,629,8.7,64.9,22.6
423,ぎんなん　生,168,4.7,1.6,34.8
424,ぎんなん　ゆで,169,4.6,1.5,35.8
425,（くり類）　日本ぐり　生,147,2.8,0.5,36.9
426,（くり類）　日本ぐり　ゆで,152,3.5,0.6,36.7
427,（くり類）　日本ぐり　甘露煮,232,1.8,0.4,56.8
428,（くり類）　中国ぐり　甘ぐり,207,4.9,0.9,48.5
429,くるみ　いり,713,14.6,68.8,11.7
430,けし　乾,555,19.3,49.1,21.8
431,ココナッツ　ココナッツパウダー,676,6.1,65.8,23.7
432,ごま　乾,604,19.8,53.8,16.5
433,ごま　いり,605,20.3,54.2,18.5
434,ごま　むき,570,19.3,54.9,18.8
435,ごま　ねり,646,19.0,61.0,15.6
436,しい　生,244,3.2,0.8,57.6
437,すいか　いり　味付け,528,29.6,46.4,13.4
438,チアシード　乾,446,19.4,33.9,34.5
439,とち　蒸し,148,1.7,1.9,34.2
440,はす　未熟　生,81,5.9,0.5,14.9
441,はす　成熟　乾,327,18.3,2.3,64.3
442,はす　成熟　ゆで,118,7.3,0.8,25.0
443,（ひし類）　ひし　生,183,5.8,0.5,40.6
444,（ひし類）　とうびし　生,122,2.7,0.4,31.4
445,（ひし類）　とうびし　ゆで,121,2.7,0.3,30.5
446,ピスタチオ　いり　味付け,617,17.4,56.1,20.9
447,ひまわり　フライ　味付け,587,20.1,56.3,17.2
449,ブラジルナッツ　フライ　味付け,703,14.9,69.1,9.6
450,ヘーゼルナッツ　フライ　味付け,701,13.6,69.3,13.9
452,ペカン　フライ　味付け,716,9.6,73.4,13.3
453,マカダミアナッツ　いり　味付け,751,8.3,76.7,12.2
454,まつ　生,645,15.8,68.2,10.6
455,まつ　いり,668,14.6,72.5,8.1
456,らっかせい　大粒種　乾,572,25.2,47.0,19.4
457,らっかせい　大粒種　いり,613,25.0,49.6,21.3
458,らっかせい　小粒種　乾,573,25.4,47.5,18.8
459,らっかせい　小粒種　いり,607,26.5,49.4,19.6
460,らっかせい　バターピーナッツ,609,23.3,53.2,18.3
461,らっかせい　ピーナッツバター,599,20.6,50.4,24.9
462,アーティチョーク　花らい　生,39,2.3,0.2,11.3
463,アーティチョーク　花らい　ゆで,35,2.1,0.1,10.8
464,あさつき　葉　生,34,4.2,0.3,5.6
465,あさつき　葉　ゆで,41,4.2,0.3,7.3
466,あしたば　茎葉　生,30,3.3,0.1,6.7
467,あしたば　茎葉　ゆで,28,2.9,0.1,6.6
468,アスパラガス　若茎　生,21,2.6,0.2,3.9
469,アスパラガス　若茎　ゆで,25,2.6,0.1,4.6
470,アスパラガス　若茎　油いため,54,2.9,3.9,4.1
471,アスパラガス　水煮缶詰,24,2.4,0.1,4.3
472,アロエ　葉　生,3,0,0.1,0.7
473,いんげんまめ　さやいんげん　若ざや　生,23,1.8,0.1,5.1
474,いんげんまめ　さやいんげん　若ざや　ゆで,25,1.8,0.2,5.5
475,（うど類）　うど　茎　生,19,0.8,0.1,4.3
476,（うど類）　うど　茎　水さらし,13,0.6,0,3.4
477,（うど類）　やまうど　茎　生,19,1.1,0.1,4.3
478,うるい　葉　生,19,1.9,0.4,4.0
479,えだまめ　生,125,11.7,6.2,8.8
480,えだまめ　ゆで,118,11.5,6.1,8.9
481,えだまめ　冷凍,143,13.0,7.6,10.6
482,エンダイブ　葉　生,14,1.2,0.2,2.9
483,（えんどう類）　トウミョウ　茎葉　生,28,3.8,0.4,4.0
484,（えんどう類）　トウミョウ　芽ばえ　生,27,3.8,0.4,3.2
485,（えんどう類）　トウミョウ　芽ばえ　ゆで,28,3.6,0.6,3.8
486,（えんどう類）　トウミョウ　芽ばえ　油いため,84,5.0,5.9,4.3
487,（えんどう類）　さやえんどう　若ざや　生,38,3.1,0.2,7.5
488,（えんどう類）　さやえんどう　若ざや　ゆで,36,3.2,0.2,7.0
489,（えんどう類）　スナップえんどう　若ざや　生,47,2.9,0.1,9.9
490,（えんどう類）　グリンピース　生,76,6.9,0.4,15.3
491,（えんどう類）　グリンピース　ゆで,99,8.3,0.2,18.5
492,（えんどう類）　グリンピース　冷凍,80,5.8,0.7,17.1
493,（えんどう類）　グリンピース　冷凍　ゆで,82,6.2,0.7,17.8
494,（えんどう類）　グリンピース　冷凍　油いため,114,6.3,4.6,18.2
495,（えんどう類）　グリンピース　水煮缶詰,82,3.6,0.4,19.7
496,おおさかしろな　葉　生,12,1.4,0.2,2.2
497,おおさかしろな　葉　ゆで,16,1.6,0.3,3.1
498,おおさかしろな　塩漬,19,1.3,0.3,4.5
499,おかひじき　茎葉　生,16,1.4,0.2,3.4
500,おかひじき　茎葉　ゆで,16,1.2,0.1,3.8
501,オクラ　果実　生,26,2.1,0.2,6.6
502,オクラ　果実　ゆで,29,2.1,0.1,7.6
503,かぶ　葉　生,20,2.3,0.1,3.9
504,かぶ　葉　ゆで,20,2.3,0.1,4.4
505,かぶ　根　皮つき　生,18,0.7,0.1,4.6
506,かぶ　根　皮つき　ゆで,18,0.7,0.1,4.7
507,かぶ　根　皮なし　生,19,0.6,0.1,4.8
508,かぶ　根　皮なし　ゆで,20,0.6,0.1,5.0
509,かぶ　漬物　塩漬　葉,27,2.3,0.2,6.0
510,かぶ　漬物　塩漬　根　皮つき,21,1.0,0.2,4.9
511,かぶ　漬物　塩漬　根　皮なし,19,0.8,0.1,4.7
512,かぶ　漬物　ぬかみそ漬　葉,35,3.3,0.1,7.1
513,かぶ　漬物　ぬかみそ漬　根　皮つき,27,1.5,0.1,5.9
514,かぶ　漬物　ぬかみそ漬　根　皮なし,31,1.4,0.1,6.9
515,（かぼちゃ類）　日本かぼちゃ　果実　生,41,1.6,0.1,10.9
516,（かぼちゃ類）　日本かぼちゃ　果実　ゆで,50,1.9,0.1,13.3
517,（かぼちゃ類）　西洋かぼちゃ　果実　生,78,1.9,0.3,20.6
518,（かぼちゃ類）　西洋かぼちゃ　果実　ゆで,80,1.6,0.3,21.3
519,（かぼちゃ類）　西洋かぼちゃ　果実　焼き,105,2.5,0.4,27.7
520,（かぼちゃ類）　西洋かぼちゃ　果実　冷凍,75,2.2,0.3,18.5
521,（かぼちゃ類）　そうめんかぼちゃ　果実　生,25,0.7,0.1,6.1
522,からしな　葉　生,26,3.3,0.1,4.7
523,からしな　塩漬,36,4.0,0.1,7.2
524,カリフラワー　花序　生,28,3.0,0.1,5.2
525,カリフラワー　花序　ゆで,26,2.7,0.1,5.1
526,かんぴょう　乾,239,6.3,0.2,68.1
527,かんぴょう　ゆで,21,0.7,0,7.2
528,かんぴょう　甘煮,146,2.3,0.2,36.5
529,きく　花びら　生,25,1.4,0,6.5
530,きく　花びら　ゆで,21,1.0,0,5.7
531,きく　菊のり,283,11.6,0.2,73.5
532,（キャベツ類）　キャベツ　結球葉　生,21,1.3,0.2,5.2
533,（キャベツ類）　キャベツ　結球葉　ゆで,19,0.9,0.2,4.6
534,（キャベツ類）　キャベツ　結球葉　油いため,78,1.6,6.0,5.9
535,（キャベツ類）　グリーンボール　結球葉　生,20,1.4,0.1,4.3
536,（キャベツ類）　レッドキャベツ　結球葉　生,30,2.0,0.1,6.7
537,きゅうり　果実　生,13,1.0,0.1,3.0
538,きゅうり　漬物　塩漬,17,1.0,0.1,3.7
539,きゅうり　漬物　しょうゆ漬,51,3.2,0.4,10.8
540,きゅうり　漬物　ぬかみそ漬,28,1.5,0.1,6.2
541,きゅうり　漬物　ピクルス　スイート型,70,0.3,0.1,18.3
542,きゅうり　漬物　ピクルス　サワー型,13,1.4,Tr,2.5
543,ぎょうじゃにんにく　葉　生,35,3.5,0.2,6.6
544,キンサイ　茎葉　生,16,1.1,0.4,3.5
545,キンサイ　茎葉　ゆで,15,1.1,0.4,3.5
546,クレソン　茎葉　生,13,2.1,0.1,2.5
547,くわい　塊茎　生,128,6.3,0.1,26.6
548,くわい　塊茎　ゆで,129,6.2,0.1,27.2
549,ケール　葉　生,26,2.1,0.4,5.6
550,コールラビ　球茎　生,21,1.0,0,5.1
551,コールラビ　球茎　ゆで,20,1.0,Tr,5.2
552,こごみ　若芽　生,25,3.0,0.2,5.3
553,ごぼう　根　生,58,1.8,0.1,15.4
554,ごぼう　根　ゆで,50,1.5,0.2,13.7
555,こまつな　葉　生,13,1.5,0.2,2.4
556,こまつな　葉　ゆで,14,1.6,0.1,3.0
557,コリアンダー　葉　生,18,1.4,0.4,4.6
558,ザーサイ　漬物,20,2.5,0.1,4.6
559,さんとうさい　葉　生,12,1.0,0.2,2.7
560,さんとうさい　葉　ゆで,14,1.4,0.3,2.9
561,さんとうさい　塩漬,18,1.5,0.3,4.0
562,しかくまめ　若ざや　生,19,2.4,0.1,3.8
563,ししとう　果実　生,25,1.9,0.3,5.7
564,ししとう　果実　油いため,51,1.9,3.2,5.8
565,しそ　葉　生,32,3.9,0.1,7.5
566,しそ　実　生,32,3.4,0.1,8.9
567,じゅうろくささげ　若ざや　生,22,2.5,0.1,4.8
568,じゅうろくささげ　若ざや　ゆで,28,2.8,0.1,6.2
569,しゅんぎく　葉　生,20,2.3,0.3,3.9
570,しゅんぎく　葉　ゆで,25,2.7,0.5,4.5
571,じゅんさい　若葉　水煮びん詰,4,0.4,0,1.0
572,（しょうが類）　葉しょうが　根茎　生,9,0.5,0.2,2.1
573,（しょうが類）　しょうが　根茎　皮なし　生,28,0.9,0.3,6.6
574,（しょうが類）　しょうが　根茎　皮なし　生　おろし,58,0.7,0.8,16.0
575,（しょうが類）　しょうが　根茎　皮なし　生　おろし汁,17,0.4,0.3,3.5
576,（しょうが類）　しょうが　漬物　酢漬,17,0.3,0.2,3.9
577,（しょうが類）　しょうが　漬物　甘酢漬,47,0.2,0.4,10.7
578,（しょうが類）　新しょうが　根茎　生,10,0.3,0.3,2.7
579,しろうり　果実　生,15,0.9,0.1,3.3
580,しろうり　漬物　塩漬,15,1.0,0.1,3.7
581,しろうり　漬物　奈良漬,216,4.6,0.2,40.0
582,ずいき　生ずいき　生,15,0.5,0,4.1
583,ずいき　生ずいき　ゆで,10,0.4,0,3.1
584,ずいき　干しずいき　乾,232,6.6,0.4,63.5
585,ずいき　干しずいき　ゆで,9,0.5,0,3.4
586,すいぜんじな　葉　生,16,0.6,0.6,3.4
587,すぐきな　葉　生,23,1.9,0.2,5.4
588,すぐきな　根　生,19,0.6,0.1,4.7
589,すぐきな　すぐき漬,30,2.6,0.7,6.1
590,ズッキーニ　果実　生,16,1.3,0.1,2.8
591,せり　茎葉　生,17,2.0,0.1,3.3
592,せり　茎葉　ゆで,17,2.1,0.1,3.4
593,セロリ　葉柄　生,12,0.4,0.1,3.6
594,ぜんまい　生ぜんまい　若芽　生,27,1.7,0.1,6.6
595,ぜんまい　生ぜんまい　若芽　ゆで,17,1.1,0.4,4.1
596,ぜんまい　干しぜんまい　干し若芽　乾,277,14.6,0.6,70.8
597,ぜんまい　干しぜんまい　干し若芽　ゆで,25,1.7,0.1,6.8
598,そらまめ　未熟豆　生,102,10.9,0.2,15.5
599,そらまめ　未熟豆　ゆで,103,10.5,0.2,16.9
600,タアサイ　葉　生,12,1.3,0.2,2.2
601,タアサイ　葉　ゆで,11,1.1,0.2,2.3
602,（だいこん類）　かいわれだいこん　芽ばえ　生,21,2.1,0.5,3.3
603,（だいこん類）　葉だいこん　葉　生,17,2.0,0.2,3.3
604,（だいこん類）　だいこん　葉　生,23,2.2,0.1,5.3
605,（だいこん類）　だいこん　葉　ゆで,24,2.2,0.1,5.4
